,Title,Price,Address,Bathroom,Room,Furnished,Pet Allowed,Postal Code
16,5 1/2 Villeray 1250$,$1250.00,8457 Rue Saint-Urbain Montréal QC H2P 2P2 Canada,1,5 1/2,Non,Non,H2P 2P2
17,Cession de bail d’un 4 et demi proche métro jolicoeur,$750.00, Montreal H4e2c3 QC Canada,1,4 1/2,Non,Non,
18,Renovated 4.5 Mtl Nord - Heated included- Must see,$970.00,4230 Rue Forest Montréal-Nord QC H1H 2N6 Canada,1,4 1/2,Non,Unknown,H1H 2N6
19,6 1/2 à louer dans Petite-Patrie - de décembre 18 à juin 19,$1500.00,6373 Rue des Écores Montréal QC H2G 2J6 Canada,1,6 1/2,Oui,Non,H2G 2J6
20,APARTMENT/Appartement NDG Incl. Heat+Hot Water+Fridge/Stove,$875.00,6545 Rue Sherbrooke O Montréal QC H4B 1N2 Canada,1,4 1/2,Non,Unknown,H4B 1N2
21,FURNISHED LARGE 2 BEDROOM DOWNTOWN QUIET,$1750.00,632 Bagot St Kingston ON K7K 3E5 Canada,1,4 1/2,Oui,Oui,K7K 3E5
22,Apaetment 3 1/2,$825.00,7485 Avenue de Chester Montréal QC H4V 1M4 Canada,1,2 1/2,Non,Non,H4V 1M4
23,Studio 1 ½ Plateau-Mont-Royal / Downtown 1 décembre / December 1,$880.00,1025 Rue Sherbrooke E Montréal QC H2L 1L4 Canada,1,1 1/2,Non,Non,H2L 1L4
24,Maison Hamilton: Apartment for rent in Côte Saint-Luc,$1339.00,5501 Avenue Adalbert Côte-Saint-Luc QC H4W 2B1,1,4 1/2,Non,Oui,H4W 2B1
25,Bachelor app't (1 1/2) a Snowdon pres d'un metro,$550.00,5306 Av Brodeur Montréal QC H4A 1H9 Canada,1,1 1/2,Oui,Non,H4A 1H9
26,Renovated 1 bedroom apartment near Westmount - Villa Maria metro,$1576.00,4555 Bonavista Montreal QC H3W 2C7,1,3 1/2,Non,Unknown,H3W 2C7
27,2 1/2 2.5 SAPHIR II Saint Laurent Piscine Gym cour arrière,$895.00,135 PLACE COTE VERTU Saint Laurent QC H4N 1G4,1,2 1/2,Non,Unknown,H4N 1G4
28,Le Quartet - Piscine extérieure - Grands appartements rénovés,$900.00,95 Boulevard Deguire Saint-Laurent QC H4N 1N5 Canada,1,4 1/2,Non,Non,H4N 1N5
29,Parfait pour etudiants et jeunes professionnels DISPO MAINTENANT,$995.00,3429 Rue St-Andre Plateau Mont-Royal (Lower Plateau) QC H2L 3V4,1,2 1/2,Oui,Non,H2L 3V4
30,Magnifique 3 1/2 Rénové - Secteur HOMA,$850.00,3120 Rue Adam Montréal QC H1W 1X3,1,3 1/2,Non,Unknown,H1W 1X3
31,3 chambres / 2 SDB Septembre / 3 bedrooms -2 baths for Sept 2018,$3395.00,464 rue Saint-Henri Montréal QC H3C 0R1,2,5 1/2,Non,Oui,H3C 0R1
32,Jolie 61/2 3 chambres fermées.Metro Pie IX,$1100.00,Boulevard Pie-IX Montréal QC H1V 2E5 Canada,1,5 1/2,Non,Non,H1V 2E5
33,3 Bedroom Next to McGill and Concordia,$2250.00,1300 Avenue des Pins #8 Montréal QC H3G 1A8 Canada,1,5 1/2,Oui,Unknown,H3G 1A8
34,Loft 1 1/2 plateau Mont-Royal tout inclus,$675.00, H2W2C5 Montréal QC,1,1 1/2,Oui,Non,
35,Beautiful and bright 5 1/2 apt near Villa Maria Metro Station,$1200.00,4221 Boul Decarie H4A 3J8 Montreal QC,1,5 1/2,Non,Non,H4A 3J8
36,3 1/2 Appartement a Lasalle,$670.00,7738 Rue Broadway LaSalle QC H8P 1J4 Canada,1,3 1/2,Non,Unknown,H8P 1J4
37,LARGE 4 1/2 QUIET NEIGHBORHOOD - NEAR ALL - Ground level,$845.00, Montreal H9H4T1 QC Canada,1,4 1/2,Non,Oui,
38,3 1/2 ouvert sur Bourbonniere,$693.00,H2G2H4 Canada,1,3 1/2,Non,Unknown,
39,Sous location novembre/décembre appartement 3 1/2 Villeray,$700.00, Montréal H2r 1L5 QC Canada,1,3 1/2,Oui,Unknown,
40,Condo lux in NDG 1200sf / pc all included winter price,$2099.00, Montreal h4a0a2 QC Canada,2,5 1/2,Oui,Oui,
41,Beautiful heated 2 1/2 walking distance to Snowdon Metro,$748.00,5280-5290 Victoria Montreal QC H3W 2P1,1,2 1/2,Non,Unknown,H3W 2P1
42,3.5 à louer Complexe Deguire - 50 Quintin suite 111 - Ville Sai,$799.00,50 Quintin suite 111 Ville Saint-Laurent QC H4N 3A5,1,2 1/2,Non,Non,H4N 3A5
43,1 CHAMBRE- CHAUFF. & EAU CHAUDE INCL - VSL -514-856-0038,$800.00,975 Du Ruisseau Saint Laurent QC H4L 1E2,1,2 1/2,Non,Non,H4L 1E2
44,LUXURY BLDG 3.5 IN TMR / IMMEUBLE LUXUEUX/ RENOVATED APT,$1000.00,575 Glengarry Mont-Royal QC H3R 1B3,1,2 1/2,Non,Non,H3R 1B3
45,Ap 1 1/2 Immeuble Entièrement Renové,$550.00, Côte-des-Neiges H8N 1X1 QC Canada,1,2 1/2,Non,Non,H8N 1X1
46,Centre-Ville: LOFT de 900pc meublée et équipé pour 2300$/mois,$2300.00,1081 Saint-Urbain #606 Montreal QC H2Z 1K8,1,1 1/2,Oui,Non,H2Z 1K8
47,4413 Sainte-Catherine Ouest 2BR,$Surdemande,4413 Sainte-Catherine Ouest Westmount QC H3Z 1R3,1,4 1/2,Non,Non,H3Z 1R3
48,4413 Sainte-Catherine Ouest 2BR,$Surdemande,4413 Sainte-Catherine Ouest Westmount QC H3Z 1R3,1,4 1/2,Non,Non,H3Z 1R3
49,Grand 2 1/2 -620$ NDG / Metro Villa-Maria,$620.00,4055 Décarie Montreal QC H4A 3J9,1,1 1/2,Non,Unknown,H4A 3J9
50,Grand 1 1/2 (bachelor) app't a 2 pas du metro Villa Maria,$545.00,5306 Av Brodeur Montréal QC H4A 1H9 Canada,1,1 1/2,Non,Non,H4A 1H9
51,RENOVATED 2bed 4 1/2 CDN Cote des Neige University Université,$1299.00,3550 Ridgewood Montreal QC H3V 1C2,1,4 1/2,Non,Unknown,H3V 1C2
52,Appartement Condo. 3 1/2. Ville Saint Laurent. Tours Bois Franc.,$1200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,2 1/2,Oui,Unknown,
53,GRAND 2 1/2 CHAUFFÉ RÉNOVÉ MÉTRO JOLIETTE (514) 527-9473,$600.00,3405 Rue Hochelaga Montréal QC H1W 1H4 Canada,1,2 1/2,Oui,Non,H1W 1H4
54,Appartement Condo. 5 1/2 Ville Saint Laurent. Tours Bois Franc.,$2200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,5 1/2,Non,Unknown,
55,Studio metro Côte-Vertu Sauvé and Henri-Bourassa,$560.00,5500 Rue de Salaberry Montreal QC H4J 1J6,1,1 1/2,Non,Unknown,H4J 1J6
56,3.5-620$ rénovés-Metro Honoré-Beaugrand,$620.00,8230 sherbrooke east Montreal QC H1L 1A9,1,3 1/2,Non,Unknown,H1L 1A9
57,2 CHAMBRES – CHAUFFÉ & EAU CHAUDE INCLUS – 514-856-0038,$1000.00,975 Du Ruisseau Saint Laurent QC H4L 1E2,1,4 1/2,Non,Non,H4L 1E2
58,Renovated Downtown 1 bed with washer/dryer- 3 1/2 - McGill,$1895.00,3468 Drummond Street Montreal QC H3G 1Y4,1,3 1/2,Non,Unknown,H3G 1Y4
59,5 1/2 - TWO BEDROOMS - METRO VENDOME - NDG,$1075.00,2144 Boulevard Décarie Montréal QC H4A 3J3 Canada,1,4 1/2,Non,Non,H4A 3J3
60,Furnished big 3.5 bedroom for rent! (6-8 months),$1865.00,3450 Rue Drummond Montréal QC H3G 1Y3 Canada,1,2 1/2,Oui,Non,H3G 1Y3
61,Grand appart tt inclus centre ville 5 min Berri Uqam,$1200.00,ontario/St christophe Montréal QC H2L 1P3,1,3 1/2,Oui,Non,H2L 1P3
62,SUPERBE CONDO DE 600 P.C. 1 CH. MEUBLÉE AU GRIFFINTOWN (WILLIAM),$1850.00,1010 William #406 Montreal QC H3C 0K8,1,2 1/2,Oui,Unknown,H3C 0K8
63,3 BEDROOM / 2 BATHROOM APARTMENT for rent - Downtown Montreal,$3000.00,350 Prince-arthur West Montreal QC H2X 3R4,2,5 1/2,Non,Oui,H2X 3R4
64,Large 2 Bedroom (4.5) Apartment in the Heart of Downtown!,$2200.00,350 Prince-arthur West Montreal QC H2X 3R4,1,4 1/2,Non,Oui,H2X 3R4
65,Nice Renovated 4 1-2 2BR Lachine 1st Provost Dog OK,$950.00,135 Rue Provost Lachine QC H8S 1L4 Canada,1,4 1/2,Non,Oui,H8S 1L4
66,Room in 4000sqft Loft of historical Clock Factory - Downtown,$650.00,371 Rue Dowd Montréal QC H2Z 1B6 Canada,1,1 1/2,Oui,Oui,H2Z 1B6
67,MEUBLÉ ET TOUT INCLUS Logement A LOUER 3 ½ APARTMENT FOR RENT,$1050.00,taylor montreal h3m2j8 QC Canada,1,3 1/2,Oui,Non,
68,Suite junior meublé et equipé - January,$1110.00,3463 Sainte Famille Montréal QC H2X 2K7,1,1 1/2,Oui,Unknown,H2X 2K7
69,4 1/2 Rénové / Renovated - January/February 2019,$2325.00,1400 Avenue des Pins Ouest Montréal QC H3G 1B1,2,4 1/2,Non,Unknown,H3G 1B1
70,Suite junior - 1er Févrrier,$1125.00,3463 Sainte Famille Montréal QC H2X 2K7,1,1 1/2,Non,Unknown,H2X 2K7
71,Studio meublé au centre-ville - Janvier 2018,$1025.00,3463 Sainte Famille Montréal QC H2X 2K7,1,1 1/2,Oui,Unknown,H2X 2K7
72,Grand 41/2 entre centre ville et le Mont Royal - Oct/Nov,$2225.00,1400 Avenue des Pins Ouest Montréal QC H3G 1B1,2,4 1/2,Non,Unknown,H3G 1B1
73,Appartements meublés - location d'un mois et + au centre ville,$3000.00,1400 Avenue des Pins Ouest Montréal QC H3G 1B1,2,4 1/2,Oui,Unknown,H3G 1B1
74,4 1/2 amazing views - October 2018,$2475.00,1400 Avenue des Pins Ouest Montréal QC H3G 1B1,2,4 1/2,Non,Unknown,H3G 1B1
75,Westmount 31/2 3 1/2 one une room chambre STARTING MARCH 2019,$1095.00,4400 sainte catherine ouest Montreal QC H3Z 1R3,1,3 1/2,Non,Non,H3Z 1R3
76,2 1/2 à louer - Ville-Marie Montréal,$1635.00,110 Rue Sainte-Thérèse Montréal QC H2Y1E6,1,2 1/2,Oui,Oui,
77,Super Appartements 5-1/2 au 2865 Kent Outremont,$1200.00,2865 Kent Montreal QC H3S 1M8,1,5 1/2,Non,Non,H3S 1M8
78,Large 1 bdrm. units - VSL - Services 514-900-0175 - DEGUIRE,$800.00,175 Deguire Ville St-Laurent QC H4N 1P1,1,2 1/2,Non,Non,H4N 1P1
79,PIERREFONDS / KIRKLAND - 1-2 Bedrooms ALL INCLUDED,$780.00,4875 des Erables Pierrefonds QC H9J 2W4,1,2 1/2,Non,Non,H9J 2W4
80,4 1/2 amazing views - October 2018,$2475.00,1400 Avenue des Pins Ouest Montréal QC H3G 1B1,2,4 1/2,Non,Unknown,H3G 1B1
81,4 1/2 moderne et confortable à partir du 1er décembre,$1200.00,18e Avenue H2A 2N2 Montreal QC,1,4 1/2,Non,Non,H2A 2N2
82,SPACIEUX HAUT DE DUPLEX MONTREAL-NORD,$995.00,Av l'Archevêque Montréal-Nord QC H1H 3A8 Canada,1,5 1/2,Non,Non,H1H 3A8
83,Beau grand 5 1/2,$Surdemande,Rivière des Prairies Montréal QC riviere des prairies montreal H1E3L6 QC Canada,1,5 1/2,Non,Non,
84,2 Bdr Old Port Condo w/ Parking 2 m Walk to Sq. Vic. Metro Jan 1,$2150.00,1410 688 Notre Dame West H3C 1J2 Montreal QC,1,4 1/2,Non,Unknown,H3C 1J2
85,Beautiful 4 1/2 for rent 2Bed+2Bath - Fully Furnished,$1850.00,80 Rue Barnett Dollard-des-Ormeaux QC H9G 1W7 Canada,2,4 1/2,Oui,Non,H9G 1W7
86,Lasalle 3 1/2,$1000.00,1020 Rue Melatti LaSalle QC H8N 3A2 Canada,1,2 1/2,Non,Non,H8N 3A2
87,Condo à louer -Canal Lachine- 2 chambres- DISPONIBLE-,$1415.00,5180 Rue Philippe-Lalonde Montréal QC H4C 0B2,1,4 1/2,Non,Non,H4C 0B2
88,Appartement condo à louer -Canal Lachine,$1200.00,5180 Rue Philippe-Lalonde Montréal QC H4C 0B2,1,2 1/2,Non,Non,H4C 0B2
89,Neuf Condo/Appartements à louer/rent Griffintown-Marché Atwater,$1650.00,230 rue Dominion Montreal QC H3J 1N4,1,3 1/2,Non,Unknown,H3J 1N4
90,Old Port-Montreal-New condo for rent-3.5-metro Square Victoria,$1450.00,650 rue Wellington Montreal QC H3C 1T3,1,2 1/2,Non,Oui,H3C 1T3
91,New Condo for rent-Atwater Market-Griffintown-Little Burgundy,$2300.00,230 rue Dominion Montreal QC H3J 1N4,1,4 1/2,Non,Unknown,H3J 1N4
92,Condo neuf à louer (4.5) – Ville-Marie-Centre-Ville Montréal,$2150.00,1445 rue Clark Montreal QC H2X 2R1,1,4 1/2,Non,Unknown,H2X 2R1
93,Condo Appartement à louer au Centre-Ville,$2045.00,1050 Boulevard René-Lévesque est Montréal QC H2L 2L6,1,4 1/2,Non,Non,H2L 2L6
94,Old Port Montreal- New condo for rent- 2 bedrooms-Ville-Marie,$2150.00,650 rue Wellington Montreal QC H3C 1T3,1,4 1/2,Non,Oui,H3C 1T3
95,Vieux-Port Montréal Nouveau Condo/Appartement à louer-2 chambres,$2150.00,650 rue Wellington Montreal QC H3C 1T3,1,4 1/2,Non,Oui,H3C 1T3
96,Griffintown-New apartments for rent-Lachine Canal Atwater market,$2100.00,1705 rue William Montreal QC H3J 1R3,1,4 1/2,Non,Oui,H3J 1R3
97,Neuf Condo locatif -Griffintown - Canal Lachine Marché Atwater,$1560.00,1705 rue William Montreal QC H3J 1R3,1,2 1/2,Non,Oui,H3J 1R3
98,Beautiful appartment downtown near metro,$1120.00,montreal Canada,1,2 1/2,Non,Oui,
99,Grand 8 1/2 luxueux 3 cac a Nouveau Rosemont,$21.00,7067 Rue Pierre-Gadois Montréal QC H1M 3H6 Canada,2,6 1/2,Oui,Oui,H1M 3H6
100,STEPS TO CONCORDIA! Beautifully Renovated Open Concept,$1195.00,1226-1230 Rue du Fort Ville-Marie (Concordia District) QC H3H 2B3,1,2 1/2,Non,Non,H3H 2B3
101,Bachelor app't (1 1/2) a Snowdon pres d'un metro,$550.00,5306 Av Brodeur Montréal QC H4A 1H9 Canada,1,1 1/2,Oui,Non,H4A 1H9
102,Plateau Mont-Royal 1 MONTH FREE A LOUER 2 CHAMBRES. TRES BEAU,$2250.00,4485 Avenue de l'hotel de Ville Montreal QC H2W 2H6,2,6 1/2,Non,Unknown,H2W 2H6
103,2 bedrooms 41/2 townhouse maison de ville Westmount May June,$1950.00,1750 cedar Montreal QC H3G 1A3,1,4 1/2,Non,Non,H3G 1A3
104,Super Appartements 5-1/2 au 2865 Kent Outremont,$1200.00,2865 Kent Montreal QC H3S 1M8,1,5 1/2,Non,Non,H3S 1M8
105,Grand 8 1/2 luxueux 3 cac a Nouveau Rosemont,$21.00,7067 Rue Pierre-Gadois Montréal QC H1M 3H6 Canada,2,6 1/2,Oui,Oui,H1M 3H6
106,4.5 à louer Complexe Deguire - 50 Quintin suite 111 - Ville Sai,$899.00,50 Quintin suite 111 Ville Saint-Laurent QC H4N 3A5,1,4 1/2,Non,Non,H4N 3A5
107,DANS MILE-EX SUPERBE LOFT 6397 ST-LAURENT (BEAUBIEN),$1550.00,Place Gennevilliers Laliberté Montréal QC H1V Canada,1,4 1/2,Oui,Unknown,
108,5 1/2 Propre et confortable Électros inclus 1 décembre,$895.00,565 23ᵉ Ave Lachine QC H8S 3V3 Canada,1,5 1/2,Non,Non,H8S 3V3
109,Urgent session de bail 5/2 st-leonard,$840.00,4400 Rue de Compiègne Saint-Léonard QC H1R 1S5 Canada,1,5 1/2,Oui,Unknown,H1R 1S5
110,Bonjour j'aimerais bixesuel-le pour co location Decembre 2018,$Surdemande,3200 Bedford H3s1G3 Montreal QC,1,3 1/2,Non,Oui,
111,Tout inclus au coeur de Griffintown - VUES IMPRENABLES!,$1790.00,1140 Wellington Montreal QC H3C 1V8,1,4 1/2,Non,Oui,H3C 1V8
112,Tout inclus NOUVELLE CONSTRUCTION de LUXE,$1075.00,1140 Wellington Montreal QC H3C 1V8,1,1 1/2,Non,Oui,H3C 1V8
113,Magnifique 5 1/2 idéalement situé à Griffintown - TOUT INCLUS,$2635.00,1140 Wellington Montreal QC H3C 1V8,2,5 1/2,Non,Oui,H3C 1V8
114,3 1/2 TOUT INCLUS au coeur de Griffintown,$1545.00,1140 Wellington Montreal QC H3C 1V8,1,2 1/2,Non,Oui,H3C 1V8
115,Tout inclus - COMPLÈTEMENT NEUF - vues magnifiques!,$3030.00,1140 Wellington Montreal QC H3C 1V8,2,5 1/2,Non,Oui,H3C 1V8
116,2 CHAMBRES - 2 SDB Entièrement neuf TOUT INCLUS,$1930.00,1140 Wellington Montreal QC H3C 1V8,2,4 1/2,Non,Oui,H3C 1V8
117,Magnifique appartements style condo - nouvelle construction,$1450.00,1140 Wellington Montreal QC H3C 1V8,1,2 1/2,Non,Oui,H3C 1V8
118,Tout inclus au coeur de Griffintown - 31/2,$1625.00,1140 Wellington Montreal QC H3C 1V8,1,2 1/2,Non,Oui,H3C 1V8
119,3 1/2 entièrement rénové ! Près de métro Côte-Vertu!,$650.00,1783 Rue Millar Saint-Laurent QC H4L 3H5 Canada,1,3 1/2,Non,Non,H4L 3H5
120,900m du métro Henri-Bourassa，41/2，$640,$640.00,1410 Boul Henri-Bourassa E Montréal QC H2C 1H2 Canada,1,4 1/2,Non,Unknown,H2C 1H2
121,1 et 1/2 rue Berri proche du plateau Mont-Royal,$630.00,5305 Rue Berri Montréal QC H2J 3Z8 Canada,1,1 1/2,Oui,Unknown,H2J 3Z8
122,Montréal 3 1/2 - Appartement Neuf Style Condo-Blvd Gouin,$795.00,Boulevard Gouin E Montréal QC Canada,1,3 1/2,Non,Non,
123,939-959 Boulevard de la Cote Vertu - 4.5 Apartment for Rent,$1000.00,939 Boulevard de la Cote Vertu Montreal QC H4L 1Y7,1,4 1/2,Non,Unknown,H4L 1Y7
124,939-959 Boulevard de la Cote Vertu - 3.5 Apartment for Rent,$850.00,939 Boulevard de la Cote Vertu Montreal QC H4L 1Y7,1,2 1/2,Non,Unknown,H4L 1Y7
125,Plateau Mont-Royal 1 MONTH FREE A LOUER 2 CHAMBRES. TRES BEAU,$2250.00,4485 Avenue de l'hotel de Ville Montreal QC H2W 2H6,2,6 1/2,Non,Unknown,H2W 2H6
126,Logements 6 et demi rénové garage + 2 stationnements extérieurs,$1850.00,3976 Boulevard Rosemont Montréal QC H1X 1M1 Canada,1,6 1/2,Oui,Oui,H1X 1M1
127,Super 4-1/2 Crémazie Ouest / Parc Extension,$820.00,1060 Crémazie Ouest Montreal QC H3N 1A4,1,4 1/2,Non,Non,H3N 1A4
128,Le Quartet - Piscine extérieure - Grands appartements rénovés,$900.00,95 Boulevard Deguire Saint-Laurent QC H4N 1N5 Canada,1,4 1/2,Non,Non,H4N 1N5
129,2 CHAMBRES CHAUFFAGE & EAU CHAUDE INCL. - @VSL -514-900-0175,$950.00,175 Deguire Ville St-Laurent QC H4N 1P1,1,4 1/2,Non,Non,H4N 1P1
130,EnFr ELITE BIG CONDO/ROOM long/short/COURT term NOW 8au15E PROMO,$1649.00, Montreal h4a0a2 QC,2,4 1/2,Oui,Oui,
131,105 rue Milton - Bachelor Apartment for Rent,$800.00,105 Milton Street Montreal QC H2X 1V4,1,1 1/2,Non,Unknown,H2X 1V4
132,105 rue Milton - 3.5 Apartment for Rent,$950.00,105 Milton Street Montreal QC H2X 1V4,1,2 1/2,Non,Unknown,H2X 1V4
133,Logement a louer,$620.00,H1H3B9 Canada,1,3 1/2,Non,Oui,
134,Sous-location 6 mois Joli 4 1/2 parfaitement situé Villeray,$800.00,Rue Lajeunesse Montréal QC H2P 2E6 Canada,1,4 1/2,Non,Non,H2P 2E6
135,5 1/2 petite Italie,$1450.00, Montréal H2s2y1 QC Canada,1,5 1/2,Non,Oui,
136,Condo lumineux Parc Laurier/ Rosemont adjacent Plateau RdC,$1575.00, Montréal H2S 2E8 QC Canada,1,4 1/2,Non,Non,H2S 2E8
137,Tres Beau 4 1/2 Renove,$675.00,10663 Ave Des Recollets H1H 4G2 Montreal-Nord QC,1,4 1/2,Non,Non,H1H 4G2
138,LUXURY CONDO 4 1/2 | NEW CONSTRUCTION | 6 Appliances 1000ft2,$1750.00,5068 Chemin de la Côte-Saint-Paul Montréal QC H4C 1W6 Canada,1,4 1/2,Non,Non,H4C 1W6
139,Gym/Pool/Doorman - renovated 2 bed 2 bath with washer/dryer,$1972.00,4555 Bonavista Montreal QC H3W 2C7,2,4 1/2,Non,Unknown,H3W 2C7
140,Downtown - Centre-ville - McGill / Concordia - Renovated 4 1/2,$1995.00,3421 Drummond Montreal QC H3G 1X7,1,4 1/2,Non,Unknown,H3G 1X7
141,Renovated 2 bedroom - 4 1/2 rénové - near McGill / Concordia,$2255.00,3468 Drummond Street Montreal QC H3G 1Y4,1,4 1/2,Non,Unknown,H3G 1Y4
142,Centre-ville / Downtown - Fully Renovated 2 Bed 1.5 bath - Gym,$2095.00,3468 Drummond Street Montreal QC H3G 1Y4,1,4 1/2,Non,Unknown,H3G 1Y4
143,Fully Renovated Downtown One Bedroom suite - 3 1/2 centre-ville,$1795.00,3468 Drummond Street Montreal QC H3G 1Y4,1,3 1/2,Non,Unknown,H3G 1Y4
144,Downtown - Fully Renovated 2 bed apartment - Centre-ville 4 1/2,$2095.00,3421 Drummond Montreal QC H3G 1X7,1,4 1/2,Non,Unknown,H3G 1X7
145,fully renovated one bedroom apartment near Concordia University,$1138.00,1975 Maisonneuve Montreal QC H3H 1K4,1,3 1/2,Non,Unknown,H3H 1K4
146,Downtown - brand new fully renovated 2 Bedroom with washer/dry,$2195.00,3435 Drummond Montreal QC H3G 1X8,1,4 1/2,Non,Unknown,H3G 1X8
147,4 1/2 Westmount 2 Bedroom - Renovated - Across from the park,$2085.00,4557 Sherbrooke West Montreal QC H3Z 1E8,1,4 1/2,Non,Unknown,H3Z 1E8
148,4 1/2 Verdun - Modern Kitchen and Bath - 4.5 - De L'Église Metro,$1015.00,760 Galt and 735 Gordon Verdun QC H4G 2R8,1,4 1/2,Non,Unknown,H4G 2R8
149,12 min. walk to Metro Assomption (under renovation till 3 wks),$645.00,2534 Dickson H1N 1W2 Mo QC,1,2 1/2,Oui,Non,H1N 1W2
150,MODUGNO - VSL - Calme propre - 1 chambre a louer,$775.00,2525 Modugno Montreal QC H4R 1X6,1,2 1/2,Non,Non,H4R 1X6
151,Appartement Condo. 4 1/2. Ville Saint Laurent. Tours Bois Franc.,$1650.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,4 1/2,Oui,Non,
152,Three Bedroom Condo-Style Apartment in Griffintown,$2495.00,305 de la Montagne Street Montreal QC H3C 0R6,2,5 1/2,Non,Unknown,H3C 0R6
153,2 Bedroom unit in DDO - 514-683-2252,$885.00,4452 des Sources Dollad des Ormeaux QC H8Y 3B9,2,1 1/2,Non,Non,H8Y 3B9
154,2 bedrooms 41/2 to for rent condo neuf Saint Leonard,$1160.00,9430 Lacordaire Saint-Léonard QC H1R 3N3,1,4 1/2,Non,Unknown,H1R 3N3
155,Renovated Studio Apt in Plateau. 5 Min to metro. For 1 person.,$790.00,4646 Rue de Bullion Montréal QC H2T 1Y6 Canada,1,1 1/2,Non,Unknown,H2T 1Y6
156,Superbe 4-1/2 meublé location au mois entre nov18 et avril19,$2600.00,2115 St-Urbain H2X 2N1 Montreal QC,1,4 1/2,Oui,Non,H2X 2N1
157,1 1/2 métro Jean Talon janvier 2019,$500.00,7368 Rue St-Hubert Montréal QC H2R 2N3 Canada,1,2 1/2,Non,Non,H2R 2N3
158,LUX Appartement NEUF/NEW apartment Griffintown - Lots included,$1890.00,400 Rue Richmond Montréal QC H3J 1V1 Canada,1,4 1/2,Non,Unknown,H3J 1V1
159,BEAUTIFUL 21/2 Apartment,$720.00,7514 Rue Durocher Montréal QC H3N 2A3 Canada,1,2 1/2,Oui,Oui,H3N 2A3
160,TRES BEAU 4 1/2!!!!!!,$970.00,7150 Boulevard Viau Montreal H1S 2W2 QC,1,4 1/2,Non,Non,H1S 2W2
161,Luxury Living - Downtown pool rooftop terrace,$1175.00,3475 rue de la Montagne Montreal QC H3G 2A4,1,1 1/2,Non,Oui,H3G 2A4
162,Bachelor - Cote-Saint-Luc-Convenient-Spacious,$860.00,5500 Borden Ave Côte-Saint-Luc QC H4V 2T4,1,1 1/2,Non,Oui,H4V 2T4
